time,2-10 Bond Spread,"SPX, SPCFD: Compare"
2018-10-12T00:00:00Z,0.3,2767.13
2018-10-15T00:00:00Z,0.31,2750.79
2018-10-16T00:00:00Z,0.29,2809.92
2018-10-17T00:00:00Z,0.3,2809.21
2018-10-18T00:00:00Z,0.3,2768.78
2018-10-19T00:00:00Z,0.28,2767.78
2018-10-22T00:00:00Z,0.28,2755.88
2018-10-23T00:00:00Z,0.28,2740.69
2018-10-24T00:00:00Z,0.26,2656.1
2018-10-25T00:00:00Z,0.28,2705.57
2018-10-26T00:00:00Z,0.27,2658.69
2018-10-29T00:00:00Z,0.27,2641.25
2018-10-30T00:00:00Z,0.28,2682.63
2018-10-31T00:00:00Z,0.28,2711.74
2018-11-01T00:00:00Z,0.3,2740.37
2018-11-02T00:00:00Z,0.31,2723.06
2018-11-05T00:00:00Z,0.29,2738.31
2018-11-06T00:00:00Z,0.29,2755.45
2018-11-07T00:00:00Z,0.26,2813.89
2018-11-08T00:00:00Z,0.26,2806.83
2018-11-09T00:00:00Z,0.25,2781.01
2018-11-13T00:00:00Z,0.25,2722.18
2018-11-14T00:00:00Z,0.26,2701.58
2018-11-15T00:00:00Z,0.25,2730.2
2018-11-16T00:00:00Z,0.27,2736.27
2018-11-19T00:00:00Z,0.27,2690.73
2018-11-20T00:00:00Z,0.27,2641.89
2018-11-21T00:00:00Z,0.25,2649.93
2018-11-23T00:00:00Z,0.24,2632.56
2018-11-26T00:00:00Z,0.23,2673.45
2018-11-27T00:00:00Z,0.23,2682.17
2018-11-28T00:00:00Z,0.25,2743.79
2018-11-29T00:00:00Z,0.22,2737.76
2018-11-30T00:00:00Z,0.21,2760.17
2018-12-03T00:00:00Z,0.15,2790.37
2018-12-04T00:00:00Z,0.11,2700.06
2018-12-06T00:00:00Z,0.12,2695.95
2018-12-07T00:00:00Z,0.13,2633.08
2018-12-10T00:00:00Z,0.13,2637.72
2018-12-11T00:00:00Z,0.11,2636.78
2018-12-12T00:00:00Z,0.14,2651.07
2018-12-13T00:00:00Z,0.16,2650.54
2018-12-14T00:00:00Z,0.16,2599.95
2018-12-17T00:00:00Z,0.16,2545.94
2018-12-18T00:00:00Z,0.17,2546.16
2018-12-19T00:00:00Z,0.14,2506.96
2018-12-20T00:00:00Z,0.12,2467.42
2018-12-21T00:00:00Z,0.16,2416.62
2018-12-24T00:00:00Z,0.19,2351.1
2018-12-26T00:00:00Z,0.2,2467.7
2018-12-27T00:00:00Z,0.21,2488.83
2018-12-28T00:00:00Z,0.2,2485.74
2018-12-31T00:00:00Z,0.21,2506.85
2019-01-02T00:00:00Z,0.16,2510.03
2019-01-03T00:00:00Z,0.17,2447.89
2019-01-04T00:00:00Z,0.17,2531.94
2019-01-07T00:00:00Z,0.17,2549.69
2019-01-08T00:00:00Z,0.15,2574.41
2019-01-09T00:00:00Z,0.18,2584.96
2019-01-10T00:00:00Z,0.18,2596.64
2019-01-11T00:00:00Z,0.16,2596.26
2019-01-14T00:00:00Z,0.18,2582.61
2019-01-15T00:00:00Z,0.19,2610.3
2019-01-16T00:00:00Z,0.18,2616.1
2019-01-17T00:00:00Z,0.19,2635.96
2019-01-18T00:00:00Z,0.17,2670.71
2019-01-22T00:00:00Z,0.16,2632.9
2019-01-23T00:00:00Z,0.18,2638.7
2019-01-24T00:00:00Z,0.16,2642.33
2019-01-25T00:00:00Z,0.16,2664.76
2019-01-28T00:00:00Z,0.15,2643.85
2019-01-29T00:00:00Z,0.16,2640
2019-01-30T00:00:00Z,0.18,2681.05
2019-01-31T00:00:00Z,0.18,2704.1
2019-02-01T00:00:00Z,0.18,2706.53
2019-02-04T00:00:00Z,0.2,2724.87
2019-02-05T00:00:00Z,0.18,2737.7
2019-02-06T00:00:00Z,0.18,2731.61
2019-02-07T00:00:00Z,0.17,2706.05
2019-02-08T00:00:00Z,0.18,2707.88
2019-02-11T00:00:00Z,0.17,2709.8
2019-02-12T00:00:00Z,0.18,2744.73
2019-02-13T00:00:00Z,0.18,2753.03
2019-02-14T00:00:00Z,0.16,2745.73
2019-02-15T00:00:00Z,0.14,2775.6
2019-02-19T00:00:00Z,0.15,2779.76
